"name","diy","stack_size","buy","sell","miles_price","source","source_notes","tag","color_1","color_2","version","filename","internal_id","unique_entry_id"
"yellow-rose bag","No",1.0,"240","60","NA","Nook's Cranny",,"Plants","None","None","1.0.0","SeedRoseYellow",2940.0,"BE6hakXFRTg2qdcPT"
"yellow-rose plant","No",10.0,"NFS","40","NA","Seed bag",,"Plants","None","None","1.0.0","PltRoseYellow3",3866.0,"zukyGsru7LprL3Nn3"
"yellow-tea-olive bush","No",1.0,"560","140","NA",,,"NA","None","None","1.2.0","PltBushOsmathusYellow2",12478.0,"79ausqrAiPDZqBB7Q"
"yellow-tea-olive nursery","No",1.0,"280","70","NA",,,"NA","None","None","1.2.0","PltBushOsmathusYellow0",12753.0,"9FTtowZKFNMnSnsyk"
"yellow-tea-olive start","No",10.0,"280","70","NA",,,"NA","None","None","1.2.0","SeedBushOsmathusYellow",12476.0,"u9zmBcFHEqkM47dmk"
"yellow-tulip bag","No",10.0,"240","60","NA","Nook's Cranny",,"Plants","None","None","1.0.0","SeedTulipYellow",2888.0,"dK3ZtSLJjdTpT5fxq"
"yellow-tulip plant","No",1.0,"NFS","40","NA","Seed bag",,"Plants","None","None","1.0.0","PltTulipYellow3",3840.0,"YuRZQh2wgkDnLLK55"
"young blue hydrangea","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltHydrangeaBlue1",3799.0,"pAJKQx6Mk9hvfzf6Q"
"young holly","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltHolly1",3026.0,"LRZFgyh733WSifFpA"
"young orange tea olive","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltBushOsmathusOrange1",12481.0,"nhwo3GqxRh24LkKp2"
"young pink azalea","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltAzaleaPink1",3787.0,"zWfXh4fQhA3eLkRhh"
"young pink camellia","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltBushCamelliaPink1",12491.0,"Mr5dT9enE9E9abQB8"
"young pink hydrangea","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltHydrangeaPink1",3795.0,"J2XWxQvzyQ8svq2Nk"
"young red camellia","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltBushCamelliaRed1",12488.0,"WyeEuSLKN644gJH2z"
"young red hibiscus","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltHibiscusRed1",3021.0,"Zr6hN22TvjqPT2Tfr"
"young spring bamboo","No",30.0,"NFS","200","NA","Chopping a bamboo tree (Spring)",,"NA","None","None","1.0.0","DIYBambooSpring",5729.0,"rMwLLdMSqxg3w5gLx"
"young white azalea","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltAzaleaWhite1",2860.0,"t7FsLxZzZ9mHSppL7"
"young yellow hibiscus","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltHibiscusYellow1",3791.0,"TWiBkrG8hjyQyvimE"
"young yellow tea olive","No",1.0,"420","105","NA",,,"NA","None","None","1.2.0","PltBushOsmathusYellow1",12477.0,"SD8BcLrikLWWZYhYm"
